Feature,Importance
Trihalomethanes,0.09153116710820167
Organic_carbon,0.09304319310094622
Turbidity,0.09534788560375651
Conductivity,0.09876184483514734
Solids,0.11197058043882924
Chloramines,0.11669461078841108
Hardness,0.12254464815134482
Sulfate,0.13264196405765147
ph,0.13746410591571168
