Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Improved Random Forest,0.6722560975609756,0.6518518518518519,0.34375,0.45012787723785164,0.662021484375
Improved SVM,0.6692073170731707,0.7010309278350515,0.265625,0.38526912181303113,0.650458984375
